Names,Website,Phone Number,Address,Type,Opens At,Municipio
Delizzia,,+52 341 412 6666,"Av Reforma #96, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante, Cierra a las 10p.m.,Ciudad Guzmán
La Casona Restaurante,,+52 341 101 1861,"Av Reforma 46, Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante, Abre a la 1p.m.,Ciudad Guzmán
A babor,facebook.com,+52 341 133 1212,"C. Federico del Toro 825, Mansiones del Real, 49010 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 12p.m.,Ciudad Guzmán
Ilustre Cocina & Cantina,facebook.com,+52 341 414 6801,"Calz Madero y Carranza 486, Ejidal, 49000 Cdad. Guzmán, Jal., México",Bar restaurante, Abre a la 1:30p.m.,Ciudad Guzmán
Deguzmán,grupodeguzman.com,+52 341 106 2107,"Calz Madero y Carranza 412, 16 de Septiembre, 49050 Cdad. Guzmán, Jal., México",Restaurante, Abre a la 1:30p.m.,Ciudad Guzmán
Tostadas Pepe,facebook.com,+52 341 412 5460,"Prisciliano Sánchez 8, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 9:30a.m.,Ciudad Guzmán
PM Concepto,linktr.ee,+52 341 412 0863,"Pascual Galindo Ceballos # 105, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Bar restaurante, Abre a las 8:30a.m.,Ciudad Guzmán
LAPSO - Matriz Ciudad Guzmán,lapso.mx,+52 341 412 1765,"Calle Gral. Lázaro Cárdenas del Rio 39, Centro, 49000 Cdad. Guzmán, Jal., México",Cafetería, Abre a las 8:30a.m.,Ciudad Guzmán
La Escondida,,+52 341 107 5649,"Calle Ignacio Allende 185, Villas de Calderón, 49000 Cdad. Guzmán, Jal., México",Restaurante, Cierra a las 12p.m. ,Ciudad Guzmán
Chicatana,chicatana.mx,+52 33 1091 8020,"Av. Cristóbal Colón 104, Zona Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 2p.m.,Ciudad Guzmán
Restaurante Quincho Parrilla Argentina,,+52 341 412 8765,"Av. Cristóbal Colón 213, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante argentino, Abre a las 8a.m.,Ciudad Guzmán
The Brunch Matriz Colón,,+52 341 180 9009,"Av. Cristóbal Colón 275, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 8a.m.,Ciudad Guzmán
La Mayor Ciudad Guzmán,instagram.com,+52 341 118 7897,"Av Constitucion 301, San Pedro, 49088 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 12:30p.m.,Ciudad Guzmán
Cenaduría Amelia,,+52 341 412 0867,"C. Federico del Toro 598a, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante mexicano, Abre a las 7:30p.m.,Ciudad Guzmán
Pastiche,m.facebook.com,+52 341 413 8958,"Calz Madero y Carranza 473, Ejidal, 49070 Cdad. Guzmán, Jal., México",Restaurante, Abre a la 1:30p.m.,Ciudad Guzmán
Cúspide restaurante,,+52 341 162 6244,"Av. Arquitecto Pedro Ramírez Vázquez 2088, 49000 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 8a.m.,Ciudad Guzmán
Los Portales Restaurant,,+52 341 412 4073,"Refugio Barragán de Toscano 32, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante mexicano, Abre a las 8a.m.,Ciudad Guzmán
RESTAURANTE PAVINO,facebook.com,+52 341 414 9595,"Av Constitucion 87, Colonia centro, 49000 Cdad. Guzmán, Jal., México",Restaurante,,Ciudad Guzmán
Los Molcajetes Zapotlán,facebook.com,+52 341 413 6843,"Av. 1° de Mayo 283A, Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 9a.m.,Ciudad Guzmán
Restaurante Buffet La Vaca Pinta,,+52 341 412 9902,"Calle Prof. Manuel Chávez Madrueño 224, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Buffet libre, Abre a las 9a.m.,Ciudad Guzmán
Restaurante El Zaguán,facebook.com,+52 33 2258 0420,"Carr. Estatal el Grullo-Ciudad Guzman km 13.5, Los Depositos, 49100 Zapotlán el Grande, Jal., México",Restaurante, Abre a las 2p.m.,Ciudad Guzmán
Meson de Colombo,,+52 341 412 1041,"49100 Apastepetl, Jal., México",Restaurante mexicano, Abre a las 8:30a.m.,Ciudad Guzmán
Paramo Cocina de Humo,restauranteparamo.com,+52 341 162 3534,"C. Donato Guerra 440, La Esmeralda, 49066 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 8a.m.,Ciudad Guzmán
Tacos Riky´s,,+52 341 413 8412,"Av Constitucion, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Taquería, Abre a las 5:30p.m.,Ciudad Guzmán
Flor y Canela,facebook.com,+52 341 414 6871,"C. Federico del Toro 829, Mansiones del Real, 49010 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 8a.m.,Ciudad Guzmán
Los Candiles dé Zapotlán,m.facebook.com,+52 341 122 7491,"Carlos Villaseñor 42a, Constituyentes, 49000 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 9a.m.,Ciudad Guzmán
Mi Ranchito Restaurant,,+52 341 410 6607,"México 54D 5-km 2, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante mexicano, Abre a las 8a.m.,Ciudad Guzmán
La Cascada Restaurant & Sports Bar,,+52 341 439 1578,"Av. 1° de Mayo 118, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Bar restaurante, Abre a las 8:30a.m.,Ciudad Guzmán
D'Fili,facebook.com,+52 341 412 2989,"Av. Cristóbal Colón 805, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Marisquería, Abre a las 11a.m.,Ciudad Guzmán
El Balcon,,+52 341 412 4414,"Portal Hidalgo 47-interior 9, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 8a.m.,Ciudad Guzmán
Las Bañadas,,+52 341 177 0970,"Calle Gral. Ramón Corona Madrigal 123, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",, Abre a las 9a.m.,Ciudad Guzmán
Aldea Luna Pizza & Café,,+52 341 412 4312,"C. Federico del Toro 630, Centro, 49000 Cdad. Guzmán, Jal., México",Pizzería, Abre a la 1p.m.,Ciudad Guzmán
COCCO SPA•RESTO•CAFÉ,facebook.com,+52 341 253 2534,"Av. Cristóbal Colón 203, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 8a.m.,Ciudad Guzmán
Leña Y Fuego Restaurante,facebook.com,+52 341 412 5353,"Pascual Galindo Ceballos 93 A, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 2p.m.,Ciudad Guzmán
Pomodori Pizza,,+52 341 412 9139,"Av. Cristóbal Colón 155, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Pizzería, Abre a la 1p.m.,Ciudad Guzmán
La María,,+52 341 412 8014,"Juárez 40, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante mexicano, Abre a las 8a.m.,Ciudad Guzmán
Quilombo Cocina de Barrio - Ciudad Guzmán,,+52 341 160 9982,"Poniente 359, 49000 Cdad. Guzmán, Jal., México",Restaurante argentino, Abre a la 1p.m.,Ciudad Guzmán
Tortas Zapotlán,instagram.com,+52 341 413 1542,"C. Efrain Buenrostro 1A, Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante de comida rápida, Abre a las 9a.m.,Ciudad Guzmán
Restaurante El Cangrejo Feliz,,+52 341 412 4886,"C. Federico del Toro 811, Mansiones del Real, 49000 Cdad. Guzmán, Jal., México",Marisquería, Abre a las 10a.m.,Ciudad Guzmán
SANTOS DEMONIOS,facebook.com,+52 341 488 1266,"C. Federico del Toro 4, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Bar restaurante, Abre a las 3p.m.,Ciudad Guzmán
RUDO Alas & Bolas de carne (Ciudad Guzmán),,+52 341 132 2825,"C. Federico del Toro 83-Int. 114, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Bar deportivo, Abre a la 1p.m.,Ciudad Guzmán
Restaurant Chamizal,facebook.com,+52 341 412 6740,"Independencia 117, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Marisquería, Abre a las 8a.m.,Ciudad Guzmán
La Casona Palacio,,+52 341 117 0630,"C. Federico del Toro 107, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante, Abre a la 1p.m.,Ciudad Guzmán
El Molino Restaurant,,+52 341 410 7188,"Av. Miguel de la Madrid 70-A, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante mexicano, Abre a las 8:30a.m.,Ciudad Guzmán
Tostadas Pepe's,facebook.com,+52 341 414 6028,"Av. 1° de Mayo 447, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 10a.m.,Ciudad Guzmán
Taquería Mi Ranchito,,+52 341 177 2020,"Calle Leona Vicario 106, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Taquería, Abre a las 7:30p.m. del lun,Ciudad Guzmán
Restaurant Juanito,facebook.com,+52 341 412 0039,"Calle Gral. Lázaro Cárdenas del Rio 10, Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante mexicano, Abre a las 8a.m.,Ciudad Guzmán
La Flor de Loto,,+52 341 412 3428,"C. José Padre Rolón Álcaraz 37A, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 9a.m.,Ciudad Guzmán
Fonda Las Peñas,,+52 341 412 0226,"49000, Independencia 43, Cd Guzmán Centro, Cdad. Guzmán, Jal., México",Restaurante, Abre a las 8a.m.,Ciudad Guzmán
Restaurant-bar El Chato,,+52 341 412 9717,"Dr. A. González 20A, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Bar restaurante,,Ciudad Guzmán
"Restaurante Fenix, cocina con amor.",,+52 341 122 1742,"Ocotillos 23, 49090 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 9a.m.,Ciudad Guzmán
"Pórtico, Burgers & Alcoholes",facebook.com,+52 341 439 2539,"Av. Cristóbal Colón 656, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Hamburguesería,,Ciudad Guzmán
Hacienda Mendoza,,+52 33 3138 3920,"49000, Calle Gral. Vicente Guerrero Saldaña 70, Cd Guzmán Centro, Cdad. Guzmán, Jal., México",Restaurante, Cierra a las 9p.m.,Ciudad Guzmán
SABORINI,,+52 341 412 8739,"C. Federico del Toro 142-A, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 9a.m.,Ciudad Guzmán
Parrilla San Telmo,,+52 13411111499,"Pino 1, San Pedro, 49080 Cdad. Guzmán, Jal., México",Parrilla, Abre a las 2p.m.,Ciudad Guzmán
Mariscos Puerto Vallarta,,+52 341 413 5927,"Calle Gral. Manuel Monasterio Diéguez Lara 167-A, Centro, 49000 Cdad. Guzmán, Jal., México",Marisquería,,Ciudad Guzmán
Mariscos Puerto Vallarta,,+52 341 413 5927,"Calle Gral. Manuel Monasterio Diéguez Lara 167-A, Centro, 49000 Cdad. Guzmán, Jal., México",Marisquería,,Ciudad Guzmán
Shokuhin,,+52 341 412 2498,"Av. Cristóbal Colón 344-A, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante japonés, Abre a la 1p.m.,Ciudad Guzmán
Wingman Cd. Guzman,,+52 341 110 4685,"C. Narciso Mendoza 2, Rancho Quinta Natalia, 49027 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 2p.m.,Ciudad Guzmán
Don Manuel lunch portal,,+52 341 412 2284,"Portal Hidalgo 17, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 8a.m.,Ciudad Guzmán
Cenaduría Gloria,,+52 341 412 0111,"C. Federico del Toro 696a, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante mexicano, Abre a las 2p.m.,Ciudad Guzmán
Bongo Restaurante,facebook.com,+52 341 129 5635,"Calle Gral. Ramón Corona Madrigal 469, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante,,Ciudad Guzmán
Mariscos Barra de Navidad,,+52 341 108 7820,"C. José Vasconcelos 53, 16 de Septiembre, 49050 Cdad. Guzmán, Jal., México",Marisquería, Abre a las 10a.m.,Ciudad Guzmán
Marisquería Todos Compás-La Galera,marketingdigitalcdguzman.com,+52 33 1587 4815,"Libramiento Ote. 30, 49000 Cdad. Guzmán, Jal Camino a las Peñas, frente al Salón La Reja, C. Donato Guerra Col, 49066 Cdad. Guzmán, Jal., México",Marisquería, Abre a las 11:30a.m.,Ciudad Guzmán
Marisquería Todos Compás-La Galera,marketingdigitalcdguzman.com,+52 33 1587 4815,"Libramiento Ote. 30, 49000 Cdad. Guzmán, Jal Camino a las Peñas, frente al Salón La Reja, C. Donato Guerra Col, 49066 Cdad. Guzmán, Jal., México",Marisquería, Abre a las 11:30a.m.,Ciudad Guzmán
Wings Army,wingsarmy.com,+52 341 412 1818,"C. Federico del Toro 186, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante especializado en pollo, Abre a la 1p.m.,Ciudad Guzmán
Fermenta Restaurant & Pub,facebook.com,+52 341 412 3220,"Av Reforma 77 A, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Pub, Abre a las 9a.m.,Ciudad Guzmán
Tacos de Carne Asada Don Chuy y Familia,,,"Calz Madero y Carranza 470, 49000 Cdad. Guzmán, Jal., México",Taquería, Cierra a las 5p.m. ,Ciudad Guzmán
Mariscos Fili - Ostionería Familiar,mariscosfili.com.mx,+52 341 412 4262,"Calle Guadalupe Victoria 25, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Marisquería, Abre a las 11a.m.,Ciudad Guzmán
Carnes Asadas El Cuate,,+52 341 170 4990,"Refugio Barragán de Toscano #78, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante especializado en chuletas, Abre a las 2p.m.,Ciudad Guzmán
Restaurante Punto Fit Evo Ciudad Guzmán,facebook.com,+52 341 215 4063,"Calle Gral. José Silverio Núñez 8-B, Colonia Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 8a.m. del lun,Ciudad Guzmán
COMIDA CASERA EL CALLADO,,+52 341 253 5771,"Calz Madero y Carranza, Ejidal, 49000 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 7:30a.m. del lun,Ciudad Guzmán
Los Equipales,,,"Av Reforma 104, Cd Guzmán Centro, 43000 Cdad. Guzmán, Jal., México",Restaurante mexicano, Abre a las 7:30p.m.,Ciudad Guzmán
Los Equipales,,,"Av Reforma 104, Cd Guzmán Centro, 43000 Cdad. Guzmán, Jal., México",Restaurante mexicano, Abre a las 7:30p.m.,Ciudad Guzmán
Tortas Ahogadas El Gera,,+52 341 413 3194,"Gregorio Torres Quintero S/N, Magisterial, 49070 Cdad. Guzmán, Jal., México",Restaurante de comida rápida, Abre a las 9a.m.,Ciudad Guzmán
Cuitly's Burgers,,+52 341 108 7720,"C. Heliodoro Hernández Loza 10, C. T. M., 49052 Cdad. Guzmán, Jal., México",Hamburguesería, Cierra a las 12p.m. ,Ciudad Guzmán
Tostadas El Pinche Viejo,,+52 341 134 9917,"Carlos Villaseñor 127, Constituyentes, 49088 Cdad. Guzmán, Jal., México",Restaurante, Abre a la 1p.m.,Ciudad Guzmán
La Romana,,+52 341 413 6110,"Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante, Cierra a las 7:30p.m.,Ciudad Guzmán
Restaurante Rey del Aguachile Cd Guzmán,marketingdigitalcdguzman.com,+52 341 117 9684,"Calle Gral. Manuel Monasterio Diéguez Lara 102, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Marisquería, Abre a las 11:45a.m.,Ciudad Guzmán
Burritos Los equipales,,,"Calle Gral. Ramón Corona Madrigal 125A, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante de burritos, Abre a las 7p.m.,Ciudad Guzmán
La Manzana Verde,facebook.com,+52 341 413 1547,"49080, Calle Gral. Miguel Contreras Medellín 95, San Pedro, Cdad. Guzmán, Jal., México",Restaurante, Abre a la 1p.m.,Ciudad Guzmán
Mariscos Mar y Tierra de Zapotlán,,+52 341 133 0279,"Unión de Colonos, 49093 Cdad. Guzmán, Jal., México",Marisquería, Abre a las 9a.m.,Ciudad Guzmán
Mariscos Mar y Tierra de Zapotlán,,+52 341 133 0279,"Unión de Colonos, 49093 Cdad. Guzmán, Jal., México",Marisquería, Abre a las 9a.m.,Ciudad Guzmán
Pizza Nostra,facebook.com,+52 341 412 3002,"C. Jose Clemente Orozco Flores 16, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Pizzería, Abre a la 1p.m.,Ciudad Guzmán
Okuma Sushi Ciudad Guzmán,okuma.com.mx,+52 341 413 0754,"Calle 1 de Mayo 225, Col. Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante japonés, Abre a las 2p.m.,Ciudad Guzmán
Cien Años Restaurante y Café,,+52 341 336 5371,"Av Reforma 43, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Cafetería, Abre a las 8:30a.m.,Ciudad Guzmán
Taquería La Piña,,+52 341 151 8135,"Calz Madero y Carranza 498A, 49000 Cdad. Guzmán, Jal., México",Taquería, Abre a las 3p.m.,Ciudad Guzmán
Tostadas Don luis y familia,,+52 341 208 3007,"Refugio Barragán de Toscano 42, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante mexicano, Abre a las 11:30a.m. del lun,Ciudad Guzmán
Don Manuel Lunch,,+52 341 412 1822,"Calz Madero y Carranza 260a, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 8a.m.,Ciudad Guzmán
Mirador de la Fortuna,facebook.com,+52 341 122 2424,"Carretera Guzman -Jalisco Km. 5.6, La Fortuna, 49020 Ciudad Gùzman, Jal., México",Restaurante, Abre a las 9a.m.,Ciudad Guzmán
"Tostadas ""El Pinche Viejo""",,+52 341 253 3239,"Calle Gral. Ramón Corona Madrigal 154, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 2p.m.,Ciudad Guzmán
Miss ensaladas. Tu opcion saludable,facebook.com,+52 341 414 8287,"Av. Cristóbal Colón 410, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 9a.m. del lun,Ciudad Guzmán
La Parrilla Express,,+52 341 412 7595,"Calle Gral. Ramón Corona Madrigal 199, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante mexicano, Abre a las 12p.m. del lun,Ciudad Guzmán
EL CALLADO COMIDA CASERA.,,+52 341 119 3103,"2 de Abril 88, 16 de Septiembre, 49050 Cdad. Guzmán, Jal., México",Restaurante de brunch, Abre a las 8a.m. del lun,Ciudad Guzmán
Hacienda Cofradía,instagram.com,+52 341 136 2212,"Carretera Acatlán de Juarez-Ciudad Guzmán KM 84, 49123 Gómez Farías, Jal., México",Restaurante mexicano, Abre a la 1:30p.m.,Ciudad Guzmán
Hacienda Cofradía,instagram.com,+52 341 136 2212,"Carretera Acatlán de Juarez-Ciudad Guzmán KM 84, 49123 Gómez Farías, Jal., México",Restaurante mexicano, Abre a la 1:30p.m.,Ciudad Guzmán
La Hamburguesería,,+52 341 412 6497,"C. Federico del Toro, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Hamburguesería, Abre a las 7p.m.,Ciudad Guzmán
La celestina,facebook.com,+52 341 437 3213,"Av. Cristóbal Colón 533, Centro, 49000 Cdad. Guzmán, Jal., México",Bar restaurante, Abre a la 1p.m.,Ciudad Guzmán
Chilakillers Inc,,+52 341 217 4326,"Calle Gral Ignacio Zaragoza 3, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante mexicano, Abre a las 8a.m.,Ciudad Guzmán
"Menudería ""El Güero""",,+52 341 107 6396,"C. Marcos Gordoa 31, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante mexicano, 7a.m.,Ciudad Guzmán
La Mestiza Tragos & Chupes,facebook.com,+52 341 112 3342,"Av. Cristóbal Colón 656 C, Cd Guzmán Centro, 49010 Cdad. Guzmán, Jal., México",Bar, Abre a las 7p.m.,Ciudad Guzmán
MAKITORI Cd.Guzman.,facebook.com,+52 341 412 4949,"C. Federico del Toro 195B, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante japonés, Abre a la 1p.m.,Ciudad Guzmán
Tacos Joven,,+52 341 412 0370,"49000 Federico del toro (eje) 23, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Taquería, Abre a las 9a.m.,Ciudad Guzmán
Tacos Joven,,+52 341 412 0370,"49000 Federico del toro (eje) 23, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Taquería, Abre a las 9a.m.,Ciudad Guzmán
La Fogata,,+52 341 412 8061,"Juárez 31, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 8:30a.m. del lun,Ciudad Guzmán
Loncheria Don Toño,loncheriadontono.com.mx,+52 341 176 1370,"Calle Prof. Manuel Chávez Madrueño #136, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante de desayunos, Abre a las 8a.m. del lun,Ciudad Guzmán
Tacos El Güero,,,"49000, Quintanar 8, Cd Guzmán Centro, Cdad. Guzmán, Jal., México",Taquería, Abre a las 7p.m.,Ciudad Guzmán
Tacos Valente 1ro de Mayo 483 A,,+52 341 410 6627,"Av. 1° de Mayo 483 A, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Taquería, Abre a las 8:30a.m.,Ciudad Guzmán
MUNS,muns.com.mx,+52 341 216 6419,"C. Federico del Toro 192, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante de comida rápida, Abre a las 9a.m.,Ciudad Guzmán
Borrego Al Pastor J.P. Cornejo,,+52 341 121 6583,"49097, El Pastor de Arriba, 49097 Jal., México",Restaurante, Abre a las 12p.m.,Ciudad Guzmán
Borrego Al Pastor J.P. Cornejo,,+52 341 121 6583,"49097, El Pastor de Arriba, 49097 Jal., México",Restaurante, Abre a las 12p.m.,Ciudad Guzmán
Chilaquiles Los Cova,,+52 341 412 3957,"Refugio Barragán de Toscano 66, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 8a.m.,Ciudad Guzmán
Chilaquiles Los Cova,,+52 341 412 3957,"Refugio Barragán de Toscano 66, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 8a.m.,Ciudad Guzmán
Ludy,instagram.com,+52 341 100 2264,"C. Federico del Toro 22-altos, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Bar restaurante, Abre a las 8p.m. del jue,Ciudad Guzmán
La Organica,laorganica.mx,+52 341 413 5174,"Av. Cristóbal Colón 101 D, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante de brunch, Abre a las 8a.m.,Ciudad Guzmán
Fresh & Hot,facebook.com,+52 341 412 3559,"Portal Herrera y Cairo 10, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Yogurtería, Abre a las 10:30a.m.,Ciudad Guzmán
La Minerva Taquería,ms-my.facebook.com,+52 341 108 1916,"Municipio Libre 19, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Taquería, Abre a las 7p.m. del lun,Ciudad Guzmán
taco loco,,+52 341 488 2604,"C. Ocampo 266, Lomas de Zapotlán, 49000 Cdad. Guzmán, Jal., México",Restaurante mexicano, Cierra a las 12a.m.,Ciudad Guzmán
BURGUER LUIS,,+52 341 121 2819,"Darío Vargas 149, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Hamburguesería, Abre a las 7:30p.m.,Ciudad Guzmán
"tortas ahogadas ""los primos""",facebook.com,+52 341 439 0428,"166 esq. con, Morelos Calle General Nicolás Bravo &, 49000 Cdad. Guzmán, Jal., México",Restaurante mexicano, Abre a las 9a.m.,Ciudad Guzmán
